Type,Centroid_X,Centroid_Y
Streak,624.0,339.0
Star,126.0,45.5
Star,238.5,44.0
Star,226.5,68.0
Star,389.0,75.5
Star,23.5,124.0
Star,326.0,152.5
Star,350.0,153.0
Star,732.5,162.5
Star,374.0,175.5
Star,124.5,188.0
Star,561.5,198.0
Star,549.0,248.0
Star,204.5,258.5
Star,491.5,257.5
Star,44.0,287.0
Star,301.5,295.0
Star,670.5,309.5
Star,621.5,314.5
Star,423.0,339.0
Star,188.5,343.5
Star,121.5,355.5
Star,671.5,357.5
Star,611.5,361.5
Star,215.0,363.5
Star,587.5,365.0
Star,441.5,392.0
Star,391.0,398.5
Star,248.0,400.5
Star,187.5,406.0
Star,85.5,420.0
Star,49.5,429.5
Star,334.0,445.5
Star,235.5,447.5
Star,365.5,469.0
Star,495.5,506.5
Star,586.5,522.0
Star,690.5,537.5
Star,704.0,574.5
Star,110.5,605.5
Star,292.5,617.5
Star,211.0,671.5
Star,458.0,677.0
Star,140.0,694.5
Star,676.0,706.5
Star,312.0,712.5
Star,556.5,721.5
Star,335.0,735.0
